"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"1"    ,"02:24:03.084340","10.140.212.198","10.224.168.94" ,"TCP"     ,"822"   ,"52522  >  3478 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=768 [TCP segment of a reassembled PDU]"
"2"    ,"02:24:03.085819","10.224.168.94" ,"10.140.212.198","TCP"     ,"822"   ,"3478  >  52519 [PSH, ACK] Seq=1 Ack=1 Win=29200 Len=768 [TCP segment of a reassembled PDU]"
"3"    ,"02:24:03.085879","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=1 Ack=769 Win=65535 Len=0"
"4"    ,"02:24:03.121927","10.140.212.198","10.224.168.94" ,"TCP"     ,"974"   ,"52522  >  3478 [PSH, ACK] Seq=769 Ack=1 Win=65535 Len=920 [TCP segment of a reassembled PDU]"
"5"    ,"02:24:03.121985","10.140.212.198","10.224.168.94" ,"TCP"     ,"509"   ,"52522  >  3478 [PSH, ACK] Seq=1689 Ack=1 Win=65535 Len=455 [TCP segment of a reassembled PDU]"
"6"    ,"02:24:03.123357","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=1 Ack=1689 Win=65134 Len=0"
"7"    ,"02:24:03.123605","10.224.168.94" ,"10.140.212.198","TCP"     ,"974"   ,"3478  >  52519 [PSH, ACK] Seq=769 Ack=1 Win=29200 Len=920 [TCP segment of a reassembled PDU]"
"8"    ,"02:24:03.123668","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=1 Ack=1689 Win=65535 Len=0"
"9"    ,"02:24:03.124750","10.224.168.94" ,"10.140.212.198","TCP"     ,"509"   ,"3478  >  52519 [PSH, ACK] Seq=1689 Ack=1 Win=29200 Len=455 [TCP segment of a reassembled PDU]"
"10"   ,"02:24:03.124805","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=1 Ack=2144 Win=65535 Len=0"
"11"   ,"02:24:03.141576","10.140.212.198","10.224.168.94" ,"TCP"     ,"443"   ,"52522  >  3478 [PSH, ACK] Seq=2144 Ack=1 Win=65535 Len=389 [TCP segment of a reassembled PDU]"
"12"   ,"02:24:03.142775","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=1 Ack=2533 Win=65134 Len=0"
"13"   ,"02:24:03.143003","10.224.168.94" ,"10.140.212.198","TCP"     ,"443"   ,"3478  >  52519 [PSH, ACK] Seq=2144 Ack=1 Win=29200 Len=389 [TCP segment of a reassembled PDU]"
"14"   ,"02:24:03.143094","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=1 Ack=2533 Win=65535 Len=0"
