"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"67"   ,"02:18:17.963374","10.140.212.198","10.224.168.94" ,"TCP"     ,"409"   ,"52372  >  3478 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=355 [TCP segment of a reassembled PDU]"
"68"   ,"02:18:17.964997","10.224.168.94" ,"10.140.212.198","TCP"     ,"409"   ,"3478  >  52370 [PSH, ACK] Seq=1 Ack=1 Win=29200 Len=355 [TCP segment of a reassembled PDU]"
"69"   ,"02:18:17.965044","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=1 Ack=356 Win=65535 Len=0"
"86"   ,"02:18:18.004050","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=1 Ack=356 Win=65490 Len=0"
"87"   ,"02:18:18.023296","10.224.168.94" ,"10.140.212.198","TCP"     ,"136"   ,"3478  >  52372 [PSH, ACK] Seq=1 Ack=356 Win=65490 Len=82 [TCP segment of a reassembled PDU]"
"88"   ,"02:18:18.023367","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52372  >  3478 [ACK] Seq=356 Ack=83 Win=65535 Len=0"
"183"  ,"02:18:18.145507","10.140.212.198","10.224.168.94" ,"TCP"     ,"506"   ,"52372  >  3478 [PSH, ACK] Seq=356 Ack=83 Win=65535 Len=452 [TCP segment of a reassembled PDU]"
"184"  ,"02:18:18.145626","10.140.212.198","10.224.168.94" ,"TCP"     ,"645"   ,"52372  >  3478 [PSH, ACK] Seq=808 Ack=83 Win=65535 Len=591 [TCP segment of a reassembled PDU]"
"185"  ,"02:18:18.145667","10.140.212.198","10.224.168.94" ,"TCP"     ,"644"   ,"52372  >  3478 [PSH, ACK] Seq=1399 Ack=83 Win=65535 Len=590 [TCP segment of a reassembled PDU]"
"186"  ,"02:18:18.145668","10.140.212.198","10.224.168.94" ,"TCP"     ,"132"   ,"52372  >  3478 [PSH, ACK] Seq=1989 Ack=83 Win=65535 Len=78 [TCP segment of a reassembled PDU]"
"187"  ,"02:18:18.147319","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=83 Ack=1399 Win=65490 Len=0"
"188"  ,"02:18:18.147855","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=83 Ack=2067 Win=65490 Len=0"
"189"  ,"02:18:18.148316","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52372 [PSH, ACK] Seq=83 Ack=2067 Win=65490 Len=86 [TCP segment of a reassembled PDU]"
"190"  ,"02:18:18.148319","10.224.168.94" ,"10.140.212.198","TCP"     ,"506"   ,"3478  >  52370 [PSH, ACK] Seq=356 Ack=1 Win=29200 Len=452 [TCP segment of a reassembled PDU]"
"191"  ,"02:18:18.148377","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52372  >  3478 [ACK] Seq=2067 Ack=169 Win=65535 Len=0"
"192"  ,"02:18:18.148378","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=1 Ack=808 Win=65535 Len=0"
"193"  ,"02:18:18.148632","10.140.212.198","10.224.168.94" ,"TCP"     ,"84"    ,"52370  >  3478 [PSH, ACK] Seq=1 Ack=808 Win=65535 Len=30 [TCP segment of a reassembled PDU]"
"194"  ,"02:18:18.150217","10.224.168.94" ,"10.140.212.198","TCP"     ,"1313"  ,"3478  >  52370 [PSH, ACK] Seq=808 Ack=1 Win=29200 Len=1259 [TCP segment of a reassembled PDU]"
"195"  ,"02:18:18.150221","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52370 [ACK] Seq=2067 Ack=31 Win=29200 Len=0"
"196"  ,"02:18:18.150286","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=31 Ack=2067 Win=65535 Len=0"
"216"  ,"02:18:18.221913","10.140.212.198","10.224.168.94" ,"TCP"     ,"176"   ,"52370  >  3478 [PSH, ACK] Seq=31 Ack=2067 Win=65535 Len=122 [TCP segment of a reassembled PDU]"
"217"  ,"02:18:18.223153","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52370 [ACK] Seq=2067 Ack=153 Win=29200 Len=0"
"218"  ,"02:18:18.223155","10.224.168.94" ,"10.140.212.198","TCP"     ,"120"   ,"3478  >  52370 [PSH, ACK] Seq=2067 Ack=153 Win=29200 Len=66 [TCP segment of a reassembled PDU]"
"219"  ,"02:18:18.223201","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=2133 Win=65535 Len=0"
"220"  ,"02:18:18.260639","10.140.212.198","10.224.168.94" ,"TCP"     ,"176"   ,"52372  >  3478 [PSH, ACK] Seq=2067 Ack=169 Win=65535 Len=122 [TCP segment of a reassembled PDU]"
"221"  ,"02:18:18.262351","10.224.168.94" ,"10.140.212.198","TCP"     ,"120"   ,"3478  >  52372 [PSH, ACK] Seq=169 Ack=2189 Win=65490 Len=66 [TCP segment of a reassembled PDU]"
"222"  ,"02:18:18.262492","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52372  >  3478 [ACK] Seq=2189 Ack=235 Win=65535 Len=0"
"366"  ,"02:18:18.323150","10.140.212.198","10.224.168.94" ,"TCP"     ,"123"   ,"52372  >  3478 [PSH, ACK] Seq=2189 Ack=235 Win=65535 Len=69 [TCP segment of a reassembled PDU]"
"367"  ,"02:18:18.323213","10.140.212.198","10.224.168.94" ,"TCP"     ,"1087"  ,"52372  >  3478 [PSH, ACK] Seq=2258 Ack=235 Win=65535 Len=1033 [TCP segment of a reassembled PDU]"
"368"  ,"02:18:18.323213","10.140.212.198","10.224.168.94" ,"TCP"     ,"1087"  ,"52372  >  3478 [PSH, ACK] Seq=3291 Ack=235 Win=65535 Len=1033 [TCP segment of a reassembled PDU]"
"369"  ,"02:18:18.323213","10.140.212.198","10.224.168.94" ,"TCP"     ,"1087"  ,"52372  >  3478 [PSH, ACK] Seq=4324 Ack=235 Win=65535 Len=1033 [TCP segment of a reassembled PDU]"
"370"  ,"02:18:18.323229","10.140.212.198","10.224.168.94" ,"TCP"     ,"1087"  ,"52372  >  3478 [PSH, ACK] Seq=5357 Ack=235 Win=65535 Len=1033 [TCP segment of a reassembled PDU]"
"371"  ,"02:18:18.323245","10.140.212.198","10.224.168.94" ,"TCP"     ,"1087"  ,"52372  >  3478 [PSH, ACK] Seq=6390 Ack=235 Win=65535 Len=1033 [TCP segment of a reassembled PDU]"
"372"  ,"02:18:18.323265","10.140.212.198","10.224.168.94" ,"TCP"     ,"1085"  ,"52372  >  3478 [PSH, ACK] Seq=7423 Ack=235 Win=65535 Len=1031 [TCP segment of a reassembled PDU]"
"373"  ,"02:18:18.323274","10.140.212.198","10.224.168.94" ,"TCP"     ,"678"   ,"52372  >  3478 [PSH, ACK] Seq=8454 Ack=235 Win=65535 Len=624 [TCP segment of a reassembled PDU]"
"374"  ,"02:18:18.323318","10.140.212.198","10.224.168.94" ,"TCP"     ,"831"   ,"52372  >  3478 [PSH, ACK] Seq=9078 Ack=235 Win=65535 Len=777 [TCP segment of a reassembled PDU]"
"375"  ,"02:18:18.323336","10.140.212.198","10.224.168.94" ,"TCP"     ,"831"   ,"52372  >  3478 [PSH, ACK] Seq=9855 Ack=235 Win=65535 Len=777 [TCP segment of a reassembled PDU]"
"376"  ,"02:18:18.323344","10.140.212.198","10.224.168.94" ,"TCP"     ,"829"   ,"52372  >  3478 [PSH, ACK] Seq=10632 Ack=235 Win=65535 Len=775 [TCP segment of a reassembled PDU]"
"377"  ,"02:18:18.324785","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=3291 Win=65490 Len=0"
"378"  ,"02:18:18.324987","10.224.168.94" ,"10.140.212.198","TCP"     ,"123"   ,"3478  >  52370 [PSH, ACK] Seq=2133 Ack=153 Win=29200 Len=69 [TCP segment of a reassembled PDU]"
"379"  ,"02:18:18.325025","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=2202 Win=65535 Len=0"
"380"  ,"02:18:18.325278","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=2202 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"381"  ,"02:18:18.325281","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=5357 Win=65490 Len=0"
"382"  ,"02:18:18.325281","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=7423 Win=65490 Len=0"
"383"  ,"02:18:18.325282","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=9078 Win=65490 Len=0"
"384"  ,"02:18:18.325283","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=10632 Win=65490 Len=0"
"385"  ,"02:18:18.325891","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=3662 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"386"  ,"02:18:18.325895","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=5122 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"387"  ,"02:18:18.325897","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=6582 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"388"  ,"02:18:18.325943","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=5122 Win=65535 Len=0"
"389"  ,"02:18:18.325978","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=8042 Win=65535 Len=0"
"390"  ,"02:18:18.326195","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=8042 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"391"  ,"02:18:18.326198","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=9502 Ack=153 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"392"  ,"02:18:18.326234","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=10962 Win=65535 Len=0"
"393"  ,"02:18:18.326402","10.224.168.94" ,"10.140.212.198","TCP"     ,"443"   ,"3478  >  52370 [PSH, ACK] Seq=10962 Ack=153 Win=29200 Len=389 [TCP segment of a reassembled PDU]"
"394"  ,"02:18:18.326436","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=153 Ack=11351 Win=65535 Len=0"
"397"  ,"02:18:18.364976","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=11407 Win=65490 Len=0"
"410"  ,"02:18:18.449449","10.140.212.198","10.224.168.94" ,"TCP"     ,"136"   ,"52372  >  3478 [PSH, ACK] Seq=11407 Ack=235 Win=65535 Len=82 [TCP segment of a reassembled PDU]"
"411"  ,"02:18:18.450992","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=235 Ack=11489 Win=65490 Len=0"
