"No." ,"Time"           ,"Source"                 ,"Destination"      ,"Protocol"  ,"Length","Info"
"1"   ,"13:31:38.809686","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3904, Time=2732159150"
"2"   ,"13:31:38.810998","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27930, Time=4011221184"
"3"   ,"13:31:38.829231","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3905, Time=2732159310"
"4"   ,"13:31:38.830716","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27931, Time=4011221344"
"5"   ,"13:31:38.844321","192.168.31.219"         ,"64.233.189.138"   ,"TCP"       ,"78"    ,"55943  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=155936379 TSecr=0 SACK_PERM=1"
"6"   ,"13:31:38.848351","192.168.31.219"         ,"173.39.112.121"   ,"UDP"       ,"88"    ,"24605  >  38735 Len=46"
"7"   ,"13:31:38.850463","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27932, Time=4011221504"
"8"   ,"13:31:38.852254","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3906, Time=2732159470"
"9"   ,"13:31:38.869614","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3907, Time=2732159630"
"10"  ,"13:31:38.870444","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27933, Time=4011221664"
"11"  ,"13:31:38.889382","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3908, Time=2732159790"
"12"  ,"13:31:38.890780","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27934, Time=4011221824"
"13"  ,"13:31:38.909506","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3909, Time=2732159950"
"14"  ,"13:31:38.914071","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27935, Time=4011221984"
"15"  ,"13:31:38.931413","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27936, Time=4011222144"
"16"  ,"13:31:38.932672","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3910, Time=2732160110"
"17"  ,"13:31:38.949504","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3911, Time=2732160270"
"18"  ,"13:31:38.950391","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27937, Time=4011222304"
"19"  ,"13:31:38.970375","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3912, Time=2732160430"
"20"  ,"13:31:38.971321","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27938, Time=4011222464"
"21"  ,"13:31:38.989821","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3913, Time=2732160590"
"22"  ,"13:31:38.990326","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27939, Time=4011222624"
"23"  ,"13:31:39.010110","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3914, Time=2732160750"
"24"  ,"13:31:39.010556","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27940, Time=4011222784"
"25"  ,"13:31:39.030545","192.168.31.219"         ,"173.39.112.121"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0xF456770B, Seq=27941, Time=4011222944"
"26"  ,"13:31:39.033281","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3915, Time=2732160910"
"27"  ,"13:31:39.049592","173.39.112.121"         ,"192.168.31.219"   ,"RTP"       ,"218"   ,"PT=ITU-T G.711 PCMU, SSRC=0x48CF, Seq=3916, Time=2732161070"
